,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
3920,Heimerdinger,Mage,SUPPORT,D,30.94,0.68,50.34,12.05,0.24,1.25,1.84,12.3
3921,Heimerdinger,Mage,TOP,D,20.69,-0.44,49.44,37.87,0.82,1.25,1.59,12.3
3922,Illaoi,Fighter,TOP,D,27.48,-5.65,48.72,91.76,1.84,2.28,1.41,12.3
3923,Irelia,Fighter,TOP,God,89.17,13.34,49.7,59.51,6.29,20.67,1.6,12.3
3924,Irelia,Fighter,MID,A,50.24,1.85,49.31,39.06,4.15,20.67,1.78,12.3
3925,Ivern,Support,JUNGLE,C,39.51,-3.09,48.63,74.21,1.43,0.44,3.19,12.3
3926,Janna,Support,SUPPORT,God,76.41,-14.22,52.16,82.72,8.86,14.74,3.13,12.3
3927,Janna,Support,TOP,A,58.01,0.0,53.76,16.28,1.73,14.74,3.3,12.3
3928,Jarvan IV,Tank,JUNGLE,A,52.0,-4.8,49.29,92.69,4.9,0.69,3.14,12.3
3929,Jax,Fighter,TOP,S,73.01,-2.47,49.98,84.03,5.6,9.43,1.56,12.3
3930,Jax,Fighter,JUNGLE,C,33.44,-0.82,49.31,14.29,0.93,9.09,2.1,12.3
3931,Jayce,Fighter,TOP,S,63.37,0.76,48.36,74.66,5.35,2.29,1.76,12.3
3932,Jayce,Fighter,MID,B,42.3,4.47,49.96,23.76,1.58,2.29,2.07,12.3
3933,Jhin,Marksman,ADC,S,74.41,-18.35,51.09,98.3,22.68,5.42,2.99,12.3
3934,Jinx,Marksman,ADC,S,70.16,-16.71,51.11,99.07,21.6,6.19,2.39,12.3
3935,Kai'Sa,Marksman,ADC,A,55.32,-7.87,49.3,96.88,13.37,2.4,2.42,12.3
3936,Kalista,Marksman,ADC,C,36.19,11.94,47.58,88.41,1.56,0.25,2.26,12.3
3937,Karma,Mage,SUPPORT,S,67.45,1.89,48.48,87.52,10.27,4.76,2.72,12.3
3938,Karthus,Mage,ADC,B,42.22,2.83,51.86,18.85,0.64,2.31,2.19,12.3
3939,Karthus,Mage,MID,C,38.35,5.97,49.72,11.5,0.33,2.31,2.11,12.3
3940,Karthus,Mage,JUNGLE,C,35.17,0.79,47.94,61.75,1.92,2.31,2.37,12.3
3941,Kassadin,Assassin,MID,A,53.38,-3.74,50.94,95.87,3.73,10.86,2.42,12.3
3942,Katarina,Assassin,MID,S,61.2,-3.03,49.95,92.9,7.06,9.18,2.27,12.3
3943,Kayle,Fighter,TOP,A,55.29,5.07,52.5,74.52,3.33,1.4,1.82,12.3
3944,Kayle,Fighter,MID,B,44.21,4.34,51.92,19.65,0.81,1.4,2.23,12.3
3945,Kayn,Fighter,JUNGLE,S,71.63,2.48,50.06,97.1,10.44,11.67,2.35,12.3
3946,Kennen,Mage,MID,A,48.42,9.35,54.27,16.84,0.33,0.5,2.54,12.3
3947,Kennen,Mage,TOP,C,32.12,-0.61,50.03,79.76,1.55,0.5,1.97,12.3
3948,Kha'Zix,Assassin,JUNGLE,S,64.01,1.3,51.24,98.6,7.76,7.27,2.52,12.3
3949,Kindred,Marksman,JUNGLE,A,50.51,0.49,51.14,92.56,4.65,2.71,2.24,12.3
3950,Kled,Fighter,MID,A,49.38,0.0,54.82,10.14,0.18,0.8,2.63,12.3
3951,Kled,Fighter,TOP,B,41.5,-0.85,52.37,87.46,1.57,0.76,2.31,12.3
3952,Kog'Maw,Marksman,ADC,B,42.4,4.88,51.31,86.29,1.56,0.29,2.2,12.3
3953,LeBlanc,Assassin,MID,A,50.09,-8.27,47.37,94.08,4.32,8.92,2.72,12.3
3954,Lee Sin,Fighter,JUNGLE,God,89.35,-2.46,47.59,93.27,15.62,14.11,2.67,12.3
3955,Leona,Tank,SUPPORT,S,65.32,-0.23,50.24,98.78,8.54,12.24,2.32,12.3
3956,Lillia,Fighter,JUNGLE,B,45.88,4.08,50.24,84.57,3.19,1.03,2.67,12.3
3957,Lillia,Fighter,TOP,D,28.99,2.6,52.26,12.1,0.48,1.11,2.08,12.3
3958,Lissandra,Mage,MID,A,49.04,1.24,50.98,89.38,2.69,0.65,2.43,12.3
3959,Lucian,Marksman,ADC,B,44.69,0.44,49.05,82.98,6.19,1.6,2.26,12.3
3960,Lucian,Marksman,MID,D,31.03,1.6,45.72,10.62,0.69,1.6,1.84,12.3
3961,Lulu,Support,SUPPORT,God,93.35,0.46,51.33,95.63,12.59,20.53,3.08,12.3
3962,Lux,Mage,SUPPORT,God,85.54,-0.06,49.21,66.14,13.67,12.7,2.45,12.3
3963,Lux,Mage,MID,S,65.62,-1.06,52.13,30.1,5.98,12.7,2.86,12.3
3964,Malphite,Tank,TOP,S,67.98,3.25,52.11,74.52,4.18,3.9,2.41,12.3
3965,Malphite,Tank,MID,C,39.84,3.95,49.32,11.78,0.66,3.9,2.36,12.3
3966,Malphite,Tank,SUPPORT,D,28.73,8.19,48.05,11.03,0.68,3.98,2.08,12.3
3967,Malzahar,Mage,MID,A,52.08,0.43,52.3,90.42,3.25,3.12,2.19,12.3
3968,Maokai,Tank,SUPPORT,C,37.04,-2.06,50.82,77.53,1.22,0.12,2.22,12.3
3969,Maokai,Tank,TOP,D,15.15,-11.08,47.99,17.13,0.28,0.13,2.08,12.3
3970,Master Yi,Assassin,JUNGLE,S,66.66,2.95,51.06,92.4,7.6,18.54,2.05,12.3
3971,Miss Fortune,Marksman,ADC,A,48.93,-1.26,50.65,93.14,7.27,1.64,2.25,12.3
3972,Mordekaiser,Fighter,TOP,S,69.99,-2.85,50.32,83.15,5.16,6.09,1.8,12.3
3973,Mordekaiser,Fighter,JUNGLE,C,37.72,0.0,51.26,10.47,0.66,6.66,2.28,12.3
3974,Morgana,Mage,SUPPORT,S,69.64,-0.08,50.23,88.21,7.65,25.34,2.47,12.3
3975,Nami,Support,SUPPORT,S,65.98,-6.6,50.08,99.47,8.84,1.43,3.11,12.3
3976,Nasus,Fighter,TOP,S,62.26,-8.83,50.28,85.29,4.45,4.89,1.87,12.3
3977,Nautilus,Tank,SUPPORT,S,62.29,0.57,50.03,96.76,8.3,8.35,2.27,12.3
3978,Neeko,Mage,MID,B,40.36,2.46,48.73,60.11,1.51,0.52,2.18,12.3
3979,Neeko,Mage,SUPPORT,D,28.92,5.59,48.65,25.59,0.64,0.52,1.89,12.3
3980,Nidalee,Assassin,JUNGLE,B,45.28,-2.56,48.35,91.87,3.88,2.31,2.84,12.3
3981,Nocturne,Assassin,JUNGLE,A,49.74,-2.57,51.5,90.54,3.66,3.04,2.54,12.3
3982,Nunu,Tank,JUNGLE,A,56.81,-0.5,51.63,87.6,4.91,3.46,3.0,12.3
3983,Olaf,Fighter,JUNGLE,D,30.97,-4.53,47.07,84.69,1.45,0.78,2.26,12.3
3984,Olaf,Fighter,TOP,D,7.09,-0.33,46.66,15.63,0.27,0.82,1.53,12.3
3985,Orianna,Mage,MID,B,46.68,-0.14,49.04,93.99,2.82,0.18,2.58,12.3
3986,Ornn,Tank,TOP,S,60.77,0.66,51.86,93.74,3.71,0.51,2.33,12.3
3987,Pantheon,Fighter,MID,A,47.95,8.12,53.64,21.87,0.92,0.85,2.31,12.3
3988,Pantheon,Fighter,SUPPORT,C,31.85,7.34,48.12,41.45,1.77,0.85,1.92,12.3
3989,Pantheon,Fighter,TOP,D,25.14,-5.93,49.13,29.49,1.03,0.85,2.02,12.3
3990,Poppy,Tank,JUNGLE,B,45.74,4.95,50.69,57.61,2.82,2.65,2.66,12.3
3991,Poppy,Tank,TOP,C,36.61,-4.82,50.98,34.76,1.6,2.65,2.09,12.3
3992,Pyke,Support,SUPPORT,S,67.74,6.53,49.77,88.41,9.45,13.2,2.17,12.3
3993,Qiyana,Assassin,MID,A,54.16,-0.9,50.8,60.74,4.34,11.73,2.15,12.3
3994,Qiyana,Assassin,JUNGLE,B,42.04,2.09,49.75,35.43,2.45,11.73,2.39,12.3
3995,Quinn,Marksman,TOP,B,44.58,9.96,52.1,84.67,2.27,1.21,1.92,12.3
3996,Rakan,Support,SUPPORT,A,51.84,0.67,49.87,96.83,5.23,0.39,2.89,12.3
3997,Rammus,Tank,JUNGLE,A,49.06,4.21,52.25,94.05,2.46,3.04,2.86,12.3
3998,Rek'Sai,Fighter,JUNGLE,A,48.63,0.02,50.81,97.02,3.83,4.22,2.48,12.3
3999,Rell,Tank,SUPPORT,C,39.55,1.04,50.54,98.88,1.85,0.36,2.43,12.3
4000,Renekton,Fighter,TOP,A,55.19,0.62,47.66,85.17,4.65,2.56,1.83,12.3
4001,Renekton,Fighter,MID,C,39.45,2.77,49.81,13.73,0.71,2.56,2.08,12.3
4002,Rengar,Assassin,JUNGLE,B,42.23,4.0,49.38,76.08,3.25,2.69,2.29,12.3
4003,Rengar,Assassin,TOP,D,22.37,-4.44,48.85,20.19,0.94,2.69,1.86,12.3
4004,Riven,Fighter,TOP,God,78.41,12.12,51.26,91.21,5.86,3.29,1.94,12.3
4005,Rumble,Fighter,MID,B,44.42,-1.43,51.35,34.58,0.7,0.25,2.55,12.3
4006,Rumble,Fighter,JUNGLE,C,33.6,7.95,48.96,13.42,0.24,0.25,2.71,12.3
4007,Rumble,Fighter,TOP,D,24.87,3.08,49.21,49.28,0.91,0.25,2.12,12.3
4008,Ryze,Mage,MID,B,40.02,5.49,45.78,84.53,3.14,0.27,2.2,12.3
4009,Ryze,Mage,TOP,D,9.08,-6.74,46.06,13.65,0.46,0.27,1.77,12.3
4010,Samira,Marksman,ADC,B,45.7,-0.69,48.65,96.56,7.03,9.14,2.23,12.3
4011,Sejuani,Tank,JUNGLE,A,50.12,12.21,52.3,80.51,2.11,0.3,3.27,12.3
4012,Sejuani,Tank,TOP,C,33.31,5.82,53.35,13.22,0.33,0.32,2.44,12.3
4013,Senna,Marksman,SUPPORT,S,72.92,-4.59,50.72,85.4,10.56,6.2,2.62,12.3
4014,Senna,Marksman,ADC,B,43.11,-13.89,49.74,12.36,1.43,6.2,2.85,12.3
4015,Seraphine,Mage,ADC,A,46.99,3.79,52.39,17.52,0.74,0.95,2.88,12.3
4016,Seraphine,Mage,MID,C,38.02,-4.63,47.23,14.66,0.73,0.95,2.71,12.3
4017,Seraphine,Mage,SUPPORT,C,37.93,0.77,46.92,67.15,3.63,0.95,2.4,12.3
4018,Sett,Fighter,TOP,God,88.44,-4.09,48.98,80.25,7.37,6.96,1.69,12.3
4019,Sett,Fighter,SUPPORT,D,22.31,0.0,45.18,10.33,0.76,6.96,1.93,12.3
4020,Shaco,Assassin,JUNGLE,S,59.55,-2.47,50.6,83.13,5.82,17.1,2.7,12.3
4021,Shaco,Assassin,SUPPORT,C,32.36,-2.13,48.51,12.76,0.94,17.1,2.33,12.3
4022,Shen,Tank,TOP,God,77.21,1.92,52.28,88.26,4.81,1.48,2.89,12.3
4023,Shyvana,Fighter,JUNGLE,C,39.67,4.02,50.45,79.26,1.52,0.25,2.47,12.3
4024,Shyvana,Fighter,TOP,D,23.92,-1.27,51.03,16.81,0.33,0.27,2.06,12.3
4025,Singed,Tank,MID,B,45.79,0.0,52.58,11.76,0.28,0.39,2.65,12.3
4026,Singed,Tank,TOP,C,38.09,-3.51,51.01,74.82,1.9,0.39,1.96,12.3
4027,Sion,Tank,TOP,A,54.62,0.62,51.12,81.82,3.91,0.86,1.54,12.3
4028,Sivir,Marksman,ADC,B,42.64,8.5,49.93,96.56,2.6,0.5,2.44,12.3
4029,Skarner,Fighter,JUNGLE,A,48.07,7.45,54.22,76.62,0.75,0.13,2.96,12.3
4030,Skarner,Fighter,TOP,D,17.02,-10.21,48.85,19.86,0.16,0.13,2.16,12.3
4031,Sona,Support,SUPPORT,A,55.06,-1.13,52.69,95.89,4.37,0.74,2.92,12.3
4032,Soraka,Support,SUPPORT,S,63.1,2.62,52.19,89.69,6.95,3.84,2.8,12.3
4033,Swain,Mage,ADC,A,47.27,5.06,52.66,22.23,0.49,1.58,2.9,12.3
4034,Swain,Mage,MID,B,42.01,1.55,50.61,11.52,0.38,1.72,2.51,12.3
4035,Swain,Mage,SUPPORT,C,39.41,3.18,49.76,64.05,2.54,1.72,2.21,12.3
4036,Sylas,Mage,MID,A,55.22,-4.9,48.96,79.59,6.33,3.51,2.13,12.3
4037,Sylas,Mage,TOP,D,24.54,-9.08,48.83,14.64,1.14,3.51,1.89,12.3
4038,Syndra,Mage,MID,B,46.21,-0.18,48.65,88.11,3.49,1.08,2.2,12.3
4039,Tahm Kench,Support,ADC,A,53.19,7.3,55.6,10.73,0.32,5.73,3.07,12.3
4040,Tahm Kench,Support,TOP,B,42.57,-11.2,50.56,51.33,2.02,5.73,2.4,12.3
4041,Tahm Kench,Support,SUPPORT,C,35.83,0.2,49.77,35.87,1.14,5.73,2.46,12.3
4042,Taliyah,Mage,MID,B,43.12,5.46,51.73,15.19,0.24,0.15,2.42,12.3
4043,Taliyah,Mage,JUNGLE,C,38.67,-0.04,50.35,60.42,1.04,0.15,2.61,12.3
4044,Taliyah,Mage,SUPPORT,C,36.81,1.44,52.48,20.66,0.31,0.14,2.09,12.3
4045,Talon,Assassin,MID,B,45.95,-2.24,49.76,55.81,2.76,3.71,2.15,12.3
4046,Talon,Assassin,JUNGLE,C,38.11,2.87,49.45,40.59,1.9,3.71,2.32,12.3
4047,Taric,Support,SUPPORT,C,39.71,2.87,51.0,82.4,1.11,0.16,2.8,12.3
4048,Teemo,Marksman,TOP,God,75.15,8.02,51.35,79.31,5.12,9.75,1.72,12.3
4049,Thresh,Support,SUPPORT,S,68.19,-0.27,47.97,98.54,11.17,4.73,2.49,12.3
4050,Tristana,Marksman,ADC,A,49.75,5.53,51.25,88.03,6.54,2.7,2.37,12.3
4051,Trundle,Fighter,JUNGLE,A,51.14,-3.45,52.51,64.16,3.2,2.96,2.69,12.3
4052,Trundle,Fighter,TOP,C,38.85,-0.96,53.23,30.2,1.46,2.96,1.74,12.3
4053,Tryndamere,Fighter,TOP,God,87.69,4.11,50.77,82.17,5.93,18.08,1.84,12.3
4054,Tryndamere,Fighter,MID,B,44.18,6.88,51.75,12.79,0.91,18.08,2.11,12.3
4055,Twisted Fate,Mage,MID,B,42.48,-9.42,47.45,91.58,3.02,0.64,2.16,12.3
4056,Twitch,Marksman,ADC,A,50.09,1.79,51.92,77.83,5.57,3.6,2.44,12.3
4057,Udyr,Fighter,JUNGLE,C,39.16,-0.74,49.87,93.63,1.65,0.47,2.52,12.3
4058,Urgot,Fighter,TOP,A,57.41,-4.75,50.92,92.95,3.89,2.22,1.92,12.3
4059,Varus,Marksman,ADC,C,39.19,6.62,48.61,91.66,2.26,0.16,2.32,12.3
4060,Vayne,Marksman,ADC,A,59.24,-6.36,51.92,81.79,11.69,17.03,2.18,12.3
4061,Vayne,Marksman,TOP,B,41.59,3.32,51.38,15.84,2.04,17.03,1.57,12.3
4062,Veigar,Mage,MID,S,66.55,-1.24,52.61,70.81,7.36,5.09,2.41,12.3
4063,Veigar,Mage,ADC,A,50.31,7.06,54.25,19.56,2.02,5.09,2.57,12.3
4064,Vel'Koz,Mage,MID,B,45.83,0.72,51.28,36.47,1.05,0.55,2.66,12.3
4065,Vel'Koz,Mage,SUPPORT,C,36.39,-2.74,49.78,57.44,1.77,0.55,2.15,12.3
4066,Vex,Mage,MID,S,66.31,-10.13,50.67,83.19,7.41,15.76,2.44,12.3
4067,Vex,Mage,SUPPORT,D,30.48,3.26,47.56,14.03,1.35,15.76,2.02,12.3
4068,Vi,Fighter,JUNGLE,A,51.1,-4.89,51.47,93.74,4.46,2.04,2.35,12.3
4069,Viego,Assassin,JUNGLE,God,77.96,-9.87,49.26,94.72,12.42,12.41,2.39,12.3
4070,Viktor,Mage,MID,S,65.92,-13.3,50.28,89.56,8.24,9.58,2.28,12.3
4071,Vladimir,Mage,MID,A,50.09,-3.38,49.8,71.68,3.69,5.35,2.36,12.3
4072,Vladimir,Mage,TOP,D,29.51,-2.34,49.61,26.41,1.26,5.35,2.06,12.3
4073,Volibear,Fighter,JUNGLE,A,49.31,-0.2,51.92,50.04,3.16,2.08,2.63,12.3
4074,Volibear,Fighter,TOP,A,48.26,-3.86,50.34,47.06,3.16,2.08,1.88,12.3
4075,Warwick,Fighter,JUNGLE,A,50.74,-2.12,50.52,74.58,5.0,5.35,2.15,12.3
4076,Warwick,Fighter,TOP,C,31.32,-1.96,51.34,23.02,1.13,5.35,1.83,12.3
4077,Wukong,Fighter,TOP,C,36.92,-5.39,50.14,75.48,1.95,0.62,2.05,12.3
4078,Wukong,Fighter,JUNGLE,C,31.85,3.4,48.72,14.12,0.35,0.65,2.42,12.3
4079,Xayah,Marksman,ADC,B,42.3,3.53,49.12,97.47,3.98,0.53,2.32,12.3
4080,Xerath,Mage,MID,A,51.41,-3.88,50.39,39.2,2.75,4.77,3.02,12.3
4081,Xerath,Mage,SUPPORT,A,47.47,0.55,50.03,54.96,4.19,4.77,2.49,12.3
4082,Xin Zhao,Fighter,JUNGLE,S,61.86,-0.86,50.81,92.19,7.76,5.78,2.37,12.3
4083,Yasuo,Fighter,MID,God,80.35,-10.8,50.08,68.73,11.28,23.72,1.75,12.3
4084,Yasuo,Fighter,TOP,B,45.66,4.34,49.52,16.03,2.6,23.72,1.52,12.3
4085,Yasuo,Fighter,ADC,B,44.95,12.04,52.28,14.2,2.25,23.72,2.01,12.3
4086,Yone,Assassin,TOP,God,76.04,3.09,50.66,38.06,4.96,20.32,1.66,12.3
4087,Yone,Assassin,MID,S,66.58,-5.79,50.01,58.9,8.09,20.32,1.88,12.3
4088,Yorick,Fighter,TOP,A,48.6,-0.99,52.33,95.46,2.87,2.6,1.54,12.3
4089,Yuumi,Support,SUPPORT,God,95.16,7.42,49.26,98.43,11.97,26.78,4.14,12.3
4090,Zac,Tank,JUNGLE,A,57.52,1.94,52.25,83.55,3.89,2.04,3.53,12.3
4091,Zed,Assassin,MID,God,75.44,-5.92,50.26,68.46,7.87,35.09,2.27,12.3
4092,Zed,Assassin,JUNGLE,B,42.72,3.47,47.69,27.55,2.85,35.09,2.43,12.3
4093,Zeri,Marksman,ADC,God,93.51,7.4,52.32,81.37,18.21,50.98,2.45,12.3
4094,Ziggs,Mage,ADC,B,45.53,4.38,51.96,65.15,1.91,0.46,2.48,12.3
4095,Ziggs,Mage,MID,B,42.32,0.52,50.46,27.84,0.81,0.46,2.38,12.3
4096,Zilean,Support,MID,A,51.66,-1.39,52.36,22.05,1.18,3.46,3.35,12.3
4097,Zilean,Support,SUPPORT,A,48.41,1.27,50.29,71.9,3.55,3.46,3.1,12.3
4098,Zoe,Mage,MID,A,49.4,1.69,49.97,92.29,3.28,1.31,2.51,12.3
4099,Zyra,Mage,SUPPORT,A,47.5,-0.67,52.36,90.63,3.35,1.98,2.15,12.3
4100,Aatrox,Fighter,TOP,God,78.04,18.05,50.05,93.07,7.05,3.39,1.91,12.4
4101,Ahri,Mage,MID,God,95.45,0.23,52.32,94.53,14.4,13.64,2.57,12.4
4102,Akali,Assassin,MID,S,69.59,4.82,49.62,66.35,8.45,18.34,2.31,12.4
4103,Akali,Assassin,TOP,A,56.22,-18.57,48.17,33.04,3.93,18.34,2.04,12.4
4104,Akshan,Marksman,MID,A,52.94,-1.48,50.23,58.16,3.94,16.16,2.19,12.4
4105,Akshan,Marksman,TOP,A,49.75,9.18,51.97,34.63,2.28,16.16,1.9,12.4
4106,Alistar,Tank,SUPPORT,B,43.9,0.9,49.17,96.48,2.94,0.64,2.46,12.4
4107,Amumu,Tank,JUNGLE,B,44.24,-0.71,50.15,80.89,2.82,1.34,2.48,12.4
4108,Amumu,Tank,SUPPORT,C,37.03,7.73,48.59,17.51,0.32,1.34,2.02,12.4
4109,Anivia,Mage,MID,A,53.6,0.85,52.36,82.14,2.9,2.96,2.56,12.4
4110,Anivia,Mage,SUPPORT,D,33.39,2.21,46.38,11.84,0.38,2.91,2.11,12.4
4111,Annie,Mage,MID,A,49.02,1.63,52.41,86.2,1.86,0.75,2.31,12.4
4112,Aphelios,Marksman,ADC,B,45.36,1.67,47.08,98.01,9.11,1.59,2.01,12.4
4113,Ashe,Marksman,ADC,B,45.56,0.48,49.75,90.1,5.47,0.87,2.32,12.4
4114,Aurelion Sol,Mage,MID,A,50.51,5.36,53.58,89.06,1.02,0.37,2.68,12.4
4115,Azir,Mage,MID,D,33.5,-3.01,45.65,90.34,1.4,0.25,2.04,12.4
4116,Bard,Support,SUPPORT,B,46.32,2.79,49.68,95.68,2.73,0.57,2.9,12.4
4117,Blitzcrank,Tank,SUPPORT,S,59.42,-14.84,51.65,97.92,8.01,20.38,2.47,12.4
4118,Brand,Mage,SUPPORT,B,46.24,0.36,51.24,70.24,3.47,5.2,1.8,12.4
4119,Brand,Mage,MID,B,42.19,2.34,51.08,17.3,0.92,5.7,1.99,12.4
4120,Brand,Mage,ADC,B,41.98,-0.66,52.95,10.23,0.42,5.7,2.15,12.4
4121,Braum,Support,SUPPORT,C,39.87,-0.83,47.4,97.11,1.97,0.36,2.64,12.4
4122,Caitlyn,Marksman,ADC,A,55.52,-1.29,47.72,97.85,13.11,12.01,2.17,12.4
4123,Camille,Fighter,TOP,S,67.08,-10.64,50.07,95.8,5.5,4.7,1.9,12.4
4124,Cassiopeia,Mage,MID,A,48.97,1.08,52.08,71.82,2.34,1.65,2.13,12.4
4125,Cassiopeia,Mage,ADC,C,41.26,-3.71,51.89,10.87,0.36,1.65,2.33,12.4
4126,Cassiopeia,Mage,TOP,D,33.71,11.15,52.06,16.41,0.56,1.65,1.88,12.4
4127,Cho'Gath,Tank,TOP,A,48.0,3.64,51.54,70.76,2.39,0.86,2.15,12.4
4128,Cho'Gath,Tank,MID,C,35.56,-10.18,47.72,17.38,0.46,0.86,2.24,12.4
4129,Corki,Marksman,MID,B,44.8,0.37,47.99,94.09,3.52,1.62,2.09,12.4
4130,Darius,Fighter,TOP,God,79.35,-8.75,49.61,94.29,6.6,14.5,1.78,12.4
4131,Diana,Fighter,JUNGLE,God,79.81,-5.09,51.77,85.85,10.92,14.94,2.47,12.4
4132,Diana,Fighter,MID,A,48.33,1.15,52.39,13.0,1.64,14.94,2.16,12.4
4133,Dr. Mundo,Marksman,TOP,B,46.64,-11.03,50.76,87.05,2.49,2.29,2.09,12.4
4134,Draven,Fighter,ADC,B,43.01,-1.23,48.72,95.12,5.22,8.39,2.08,12.4
4135,Ekko,Assassin,JUNGLE,S,58.19,3.69,51.31,64.75,5.81,3.59,2.71,12.4
4136,Ekko,Assassin,MID,B,46.28,0.34,49.36,33.03,2.88,3.59,2.23,12.4
4137,Elise,Mage,JUNGLE,B,43.56,2.07,50.83,93.92,2.05,1.1,2.54,12.4
4138,Evelynn,Assassin,JUNGLE,B,44.55,1.43,48.61,98.68,3.31,6.52,2.76,12.4
4139,Ezreal,Marksman,ADC,S,61.79,0.33,48.59,96.27,17.22,4.07,2.3,12.4
4140,Fiddlesticks,Mage,JUNGLE,B,45.25,-2.73,50.37,91.68,2.75,2.14,2.61,12.4
4141,Fiora,Fighter,TOP,God,79.7,-7.96,50.66,97.52,6.54,12.45,1.71,12.4
4142,Fizz,Assassin,MID,A,51.41,-1.29,50.35,96.31,3.6,4.82,2.39,12.4
4143,Galio,Tank,MID,B,45.89,-1.58,49.76,66.5,1.96,0.42,2.61,12.4
4144,Galio,Tank,SUPPORT,C,40.78,10.29,49.42,30.25,0.89,0.42,2.35,12.4
4145,Gangplank,Fighter,TOP,S,63.7,-6.78,48.34,88.16,5.6,3.99,1.98,12.4
4146,Gangplank,Fighter,MID,D,33.45,-4.78,46.33,11.52,0.79,4.02,2.12,12.4
4147,Garen,Fighter,TOP,God,75.51,-6.5,50.83,88.0,6.37,3.21,1.98,12.4
4148,Gnar,Fighter,TOP,A,53.91,12.38,48.9,97.3,4.41,0.8,1.85,12.4
4149,Gragas,Fighter,TOP,C,41.33,-5.39,48.54,51.32,2.54,0.53,2.12,12.4
4150,Gragas,Fighter,JUNGLE,C,34.98,-2.71,47.48,33.57,1.54,0.53,2.64,12.4
4151,Graves,Marksman,TOP,S,69.52,26.78,49.95,39.61,5.62,10.7,1.66,12.4
4152,Graves,Marksman,JUNGLE,S,64.85,-0.71,50.45,55.61,7.77,10.7,2.66,12.4
4153,Gwen,Fighter,TOP,S,64.1,-13.19,48.38,52.76,5.27,12.98,1.68,12.4
4154,Gwen,Fighter,JUNGLE,A,50.44,5.14,49.54,45.21,4.61,12.98,2.35,12.4
4155,Hecarim,Fighter,JUNGLE,God,76.91,9.92,51.71,98.99,9.41,12.7,3.07,12.4
4156,Heimerdinger,Mage,MID,B,43.07,1.75,51.99,40.71,0.9,0.9,1.88,12.4
4157,Heimerdinger,Mage,ADC,B,42.02,-1.0,53.06,13.09,0.24,0.9,2.18,12.4
4158,Heimerdinger,Mage,TOP,D,25.43,4.74,48.91,36.52,0.73,0.9,1.66,12.4
4159,Illaoi,Fighter,TOP,A,51.5,24.03,53.0,94.29,2.98,2.98,1.49,12.4
4160,Irelia,Fighter,TOP,God,89.46,0.28,50.17,65.32,7.27,20.31,1.62,12.4
4161,Irelia,Fighter,MID,A,51.14,0.91,50.44,33.28,3.72,20.31,1.8,12.4
4162,Ivern,Support,JUNGLE,B,41.58,2.07,48.99,83.27,1.28,0.42,3.36,12.4
4163,Janna,Support,SUPPORT,S,56.24,-20.17,52.02,95.55,5.56,4.69,3.1,12.4
4164,Jarvan IV,Tank,JUNGLE,A,53.95,1.95,50.81,93.14,4.16,0.55,3.2,12.4
4165,Jax,Fighter,TOP,S,66.93,-6.07,51.28,84.23,5.19,8.73,1.58,12.4
4166,Jax,Fighter,JUNGLE,C,34.27,0.83,49.54,14.68,0.97,8.42,1.99,12.4
4167,Jayce,Fighter,TOP,S,58.14,-5.23,47.95,85.79,5.35,1.87,1.72,12.4
4168,Jayce,Fighter,MID,B,43.54,1.24,51.81,12.75,0.74,1.87,2.13,12.4
4169,Jhin,Marksman,ADC,God,75.82,1.41,50.97,98.52,21.58,5.53,2.93,12.4
4170,Jinx,Marksman,ADC,God,77.7,7.54,51.19,99.23,23.86,7.61,2.37,12.4
4171,Kai'Sa,Marksman,ADC,A,55.31,-0.01,49.03,97.54,12.54,2.19,2.36,12.4
4172,Kalista,Marksman,ADC,C,37.39,1.21,48.2,88.99,2.0,0.34,2.18,12.4
4173,Karma,Mage,SUPPORT,A,56.09,-11.36,49.18,81.25,9.58,5.49,2.7,12.4
4174,Karma,Mage,MID,A,47.32,0.0,50.82,11.14,1.24,5.49,2.87,12.4
4175,Karthus,Mage,ADC,B,42.85,0.64,52.98,18.77,0.72,2.08,2.22,12.4
4176,Karthus,Mage,MID,C,37.87,-0.49,49.28,14.93,0.45,2.08,2.12,12.4
4177,Karthus,Mage,JUNGLE,C,35.54,0.37,47.76,58.85,1.9,2.08,2.39,12.4
4178,Kassadin,Assassin,MID,A,55.16,1.78,51.55,96.88,3.75,9.75,2.44,12.4
4179,Katarina,Assassin,MID,S,58.9,-2.31,48.84,94.54,6.75,8.81,2.26,12.4
4180,Kayle,Fighter,TOP,A,53.73,-1.56,51.75,77.24,3.42,1.21,1.84,12.4
4181,Kayle,Fighter,MID,B,44.8,0.59,52.11,19.01,0.76,1.21,2.26,12.4
4182,Kayn,Fighter,JUNGLE,God,71.3,-0.33,49.59,96.95,10.64,11.69,2.3,12.4
4183,Kennen,Mage,MID,B,45.36,-3.06,52.77,14.81,0.25,0.4,2.43,12.4
4184,Kennen,Mage,TOP,D,30.32,-1.8,47.72,82.86,1.5,0.43,1.94,12.4
4185,Kha'Zix,Assassin,JUNGLE,S,61.76,-2.25,50.59,98.51,7.36,7.3,2.54,12.4
4186,Kindred,Marksman,JUNGLE,A,48.96,-1.55,50.36,92.84,4.56,2.78,2.2,12.4
